ring	points_in	points_out	area_km2	tolerance_km2	kept_for	west	south	east	north
431	29	12	18	1.52	airport	-6.702	56.558	-6.453	56.688
432	39	14	16	1.34	airport	-7.557	56.942	-7.382	57.059
433	58	30	8	0.64	airport	-2.693	59.192	-2.392	59.319
434	120	13	200	16.70	airport	-37.987	65.569	-37.272	65.895
435	30	8	442	36.82	airport	-53.170	71.154	-52.328	71.387
436	26	7	226	18.82	airport	-53.478	71.541	-52.777	71.674
437	33	8	161	13.45	airport	-55.692	72.922	-55.068	73.052
438	21	5	363	30.26	airport	-71.303	77.378	-70.246	77.473
439	31	8	101	8.43	airport	98.531	7.920	98.612	8.089
440	33	8	59	4.89	airport	106.560	8.652	106.658	8.767
441	18	5	112	9.29	airport	99.988	9.665	100.090	9.802
442	28	8	108	8.96	airport	92.594	11.359	92.700	11.508
443	30	7	101	8.45	airport	118.072	24.437	118.189	24.556
444	39	8	49	4.12	airport	122.322	29.833	122.408	29.953
445	17	7	69	5.73	airport	139.740	33.047	139.877	33.150
446	15	5	80	6.69	airport	139.356	34.679	139.454	34.797
447	35	8	112	9.30	airport	148.931	-20.329	149.039	-20.151
448	14	6	54	4.54	airport	-178.845	-18.246	-178.749	-18.172
449	31	7	65	5.43	airport	-179.017	-17.295	-178.917	-17.177
450	15	6	62	5.14	airport	-178.178	-14.319	-178.047	-14.233
451	18	5	106	8.85	airport	142.097	-10.182	142.198	-10.050
452	14	6	116	9.66	airport	-140.159	-9.438	-140.028	-9.326
453	25	5	94	7.86	airport	158.154	-8.837	158.247	-8.679
454	9	6	29	2.41	airport	166.913	-0.552	166.958	-0.490
455	22	6	106	8.85	airport	127.359	0.623	127.446	0.757
456	24	6	114	9.50	airport	162.916	5.273	163.043	5.380
457	7	7	11	0.88	airport	166.836	11.145	166.904	11.173
458	23	8	67	5.58	airport	121.922	20.354	122.027	20.488
459	23	6	73	6.11	airport	-174.984	-21.454	-174.909	-21.284
460	18	5	60	4.99	airport	-159.846	-21.254	-159.743	-21.189
461	20	5	102	8.49	airport	179.379	-17.391	179.448	-17.249
462	17	7	39	3.24	airport	177.006	-12.517	177.129	-12.475
463	23	6	95	7.88	airport	145.126	14.111	145.282	14.203
464	22	6	107	8.89	airport	145.578	14.928	145.668	15.082
465	42	8	61	5.09	airport	119.564	23.517	119.668	23.610
466	41	8	176	14.67	airport	-68.435	44.226	-68.185	44.439
467	16	8	35	2.92	airport	73.432	4.162	73.553	4.237
468	11	10	2	0.18	airport	-166.156	66.220	-166.047	66.262
469	14	5	10	0.87	airport	55.012	25.855	55.054	25.893
470	62	6	963	80.26	airport	-90.545	-0.777	-90.188	-0.493
471	44	6	1133	94.40	airport	-51.038	-0.330	-50.627	0.046
472	174	9	4656	388.00	area	-91.436	-1.018	-90.793	0.139
473	139	15	204	17.00	airport	-133.217	54.677	-132.671	55.251
474	351	23	486	40.52	airport	-134.409	56.044	-133.706	56.942
475	212	14	666	55.48	airport	-134.018	56.462	-132.934	57.090
476	395	16	887	73.91	airport	-134.971	57.010	-133.888	58.386
477	238	25	338	28.15	airport	-153.188	57.992	-151.972	58.484
478	76	8	312	25.96	airport	161.073	68.980	161.518	69.546
479	80	9	1017	84.76	airport	-64.409	10.868	-63.788	11.179
480	133	7	1067	88.92	airport	-61.171	14.462	-60.810	14.876
481	75	6	707	58.93	airport	-61.472	15.205	-61.257	15.634
482	57	6	812	67.65	airport	-61.771	15.949	-61.549	16.349
483	62	6	610	50.83	airport	-61.544	16.202	-61.188	16.512
484	75	7	1476	122.97	airport	-73.703	20.912	-73.053	21.329
485	95	6	2095	174.59	airport	-83.079	21.445	-82.541	21.882
486	96	13	494	41.13	airport	-76.769	24.658	-76.113	25.564
487	84	6	2411	200.88	airport	55.287	-21.325	55.855	-20.875
488	83	7	1786	148.83	airport	57.371	-20.507	57.796	-19.994
489	58	7	1009	84.12	airport	43.263	-11.932	43.499	-11.380
490	106	6	1558	129.84	airport	39.177	-6.463	39.525	-5.718
491	54	6	887	73.90	airport	6.462	0.034	6.761	0.411
492	78	5	1995	166.27	airport	8.469	3.197	8.958	3.761
493	95	6	933	77.72	airport	-23.772	14.919	-23.443	15.333
494	52	6	712	59.31	airport	-25.317	16.917	-24.971	17.197
495	75	7	1362	113.48	airport	-15.816	27.734	-15.378	28.167
496	85	7	1744	145.35	airport	-16.916	27.997	-16.141	28.583
497	70	6	1424	118.65	airport	-14.301	28.068	-13.836	28.717
498	42	6	613	51.09	airport	-18.002	28.455	-17.721	28.856
499	64	5	715	59.55	airport	-13.860	28.859	-13.418	29.209
500	50	9	616	51.36	airport	-17.252	32.647	-16.690	32.868
501	89	7	1101	91.77	airport	27.684	35.890	28.236	36.455
502	37	8	613	51.10	airport	-25.859	37.707	-25.159	37.912
503	106	9	562	46.83	airport	20.339	38.066	20.798	38.474
504	100	8	635	52.91	airport	25.849	38.157	26.164	38.604
505	154	7	2636	219.69	airport	2.358	39.269	3.474	39.969
506	67	7	490	40.83	airport	3.822	39.822	4.300	40.079
507	140	14	308	25.66	airport	-176.917	51.602	-176.416	51.980
508	221	16	426	35.46	airport	-175.035	52.004	-173.992	52.418
509	152	12	666	55.53	airport	-169.040	52.854	-167.807	53.570
510	397	18	976	81.30	airport	-167.850	53.260	-166.225	54.008
511	222	8	902	75.17	airport	9.676	55.030	10.797	55.616
512	166	15	228	19.03	airport	-6.338	56.277	-5.658	56.645
513	130	13	308	25.67	airport	16.399	56.229	17.125	57.319
514	205	17	628	52.36	airport	18.099	56.922	19.085	57.918
515	361	18	387	32.26	airport	-7.126	57.735	-6.161	58.512
516	200	37	48	3.96	airport	19.647	60.074	20.278	60.406
517	417	52	73	6.05	airport	-1.670	59.882	-1.049	60.611
518	139	11	246	20.51	airport	14.198	68.153	15.172	68.454
519	361	12	1125	93.71	airport	15.009	68.300	16.577	68.959
520	212	13	447	37.28	airport	14.370	68.579	15.336	69.013
521	65	10	271	22.58	airport	15.425	68.884	16.102	69.315
522	129	12	452	37.65	airport	17.995	69.531	19.033	69.886
523	77	7	415	34.61	airport	-51.341	69.538	-50.668	69.887
524	89	7	431	35.91	airport	18.729	69.788	19.582	70.079
525	270	9	552	45.98	airport	22.011	70.483	23.329	70.779
526	153	6	4641	386.79	area	116.002	-8.899	116.743	-8.202
527	122	5	3870	322.48	area	98.594	-1.772	99.255	-0.913
528	88	9	1102	91.81	airport	104.232	0.835	104.655	1.220
529	40	6	514	42.82	airport	103.648	1.268	104.000	1.449
530	123	5	1705	142.06	airport	95.698	2.364	96.481	2.943
531	98	8	1669	139.05	airport	107.985	3.684	108.391	4.245
532	373	6	4181	348.41	area	92.560	11.494	92.991	13.236
533	142	11	1151	95.95	airport	127.652	26.084	128.338	26.801
534	104	6	592	49.31	airport	129.146	28.123	129.688	28.509
535	61	7	1513	126.10	airport	126.171	33.200	126.939	33.564
536	54	9	664	55.37	airport	138.248	37.798	138.575	38.323
537	132	11	980	81.64	airport	145.410	43.716	146.572	44.506
538	180	14	1839	153.22	airport	146.873	44.421	148.844	45.498
539	235	18	477	39.71	airport	21.868	57.914	23.318	58.635
540	108	16	159	13.22	airport	22.056	58.687	23.041	59.090
541	62	5	3934	327.82	area	91.073	79.673	93.724	80.049
542	116	12	472	39.29	airport	-176.664	-44.122	-176.169	-43.708
543	85	7	971	80.91	airport	147.758	-40.271	148.307	-39.712
544	76	8	789	65.73	airport	143.838	-40.127	144.145	-39.571
545	168	8	3463	288.55	area	136.582	-36.083	138.065	-35.586
546	69	10	1529	127.41	airport	152.948	-25.797	153.374	-24.694
547	46	8	990	82.49	airport	-149.604	-17.869	-149.183	-17.526
548	114	9	1026	85.54	airport	139.178	-16.725	139.734	-16.398
549	213	8	2250	187.50	airport	136.425	-14.299	136.924	-13.648
550	77	6	1608	133.97	airport	-172.783	-13.805	-172.201	-13.463
551	84	7	644	53.69	airport	160.003	-11.845	160.582	-11.461
552	186	7	5734	477.80	area	130.366	-11.926	131.530	-11.208
553	77	7	1263	105.21	airport	122.813	-10.921	123.420	-10.433
554	98	5	2147	178.93	airport	124.418	-8.465	125.123	-8.149
555	152	7	2013	167.74	airport	157.228	-8.583	157.886	-7.960
556	27	6	669	55.72	airport	156.947	-8.149	157.191	-7.851
557	67	5	686	57.17	airport	156.504	-7.939	156.815	-7.569
558	194	6	3247	270.56	area	131.086	-8.018	131.643	-7.109
559	97	6	4415	367.95	area	112.726	-7.234	114.125	-6.865
560	59	9	685	57.09	airport	127.912	-3.772	128.335	-3.505
561	131	6	4490	374.14	area	107.631	-3.241	108.267	-2.561
