ring	points_in	points_out	area_km2	tolerance_km2	kept_for	west	south	east	north
#stranded	FNR	Funter Bay Seaplane Base	0.58
#stranded	MBT	Moises R. Espinosa Airport	0.58
#stranded	ALZ	Alitak Seaplane Base	0.57
#stranded	ZLO	Playa de Oro International Airport	0.56
#stranded	SPR	John Greif II Airport	0.56
#stranded	MEC	Eloy Alfaro International Airport	0.55
#stranded	SFL	São Filipe Airport	0.54
#stranded	KKJ	Kitakyushu Airport	0.53
#stranded	KPB	Point Baker Seaplane Base	0.52
#stranded	PPT	Fa'a'ā International Airport	0.52
#stranded	DPS	Denpasar I Gusti Ngurah Rai International Airport	0.49
#stranded	TRK	Juwata International Airport / Suharnoko Harbani AFB	0.48
#stranded	AUA	Queen Beatrix International Airport	0.48
#stranded	CCV	Craig Cove Airport	0.46
#stranded	QJI	Ikamiut Heliport	0.46
#stranded	FLW	Flores Airport	0.44
#stranded	JUU	Nuugaatsiaq Heliport	0.44
#stranded	CXI	Cassidy International Airport	0.43
#stranded	EFL	Kefallinia Airport	0.42
#stranded	AGN	Angoon Seaplane Base	0.41
#stranded	LNB	Lamen Bay Airport	0.40
#stranded	VAO	Suavanao Airport	0.39
#stranded	NNR	Connemara Regional Airport	0.39
#stranded	NGI	Ngau Airport	0.38
#stranded	SDL	Sundsvall-Härnösand Airport	0.38
#stranded	IOM	Isle of Man Airport	0.37
#stranded	CAB	Cabinda Airport	0.37
#stranded	SXM	Princess Juliana International Airport	0.36
#stranded	KYK	Karluk Airport	0.35
#stranded	SWL	San Vicente Airport	0.34
#stranded	CRU	Lauriston Airport	0.33
#stranded	TVU	Matei Airport	0.33
#stranded	GHB	Governor's Harbour Airport	0.32
#stranded	AXP	Spring Point Airport	0.31
#stranded	KPY	Port Bailey Seaplane Base	0.30
#stranded	AUK	Alakanuk Airport	0.28
#stranded	TLN	Toulon-Hyères Airport	0.28
#stranded	RSU	Yeosu Airport	0.28
#stranded	NIQ	Niaqornat Heliport	0.27
#stranded	TOS	Tromsø Airport	0.27
#stranded	SCY	San Cristóbal Airport	0.27
#stranded	KUM	Yakushima Airport	0.26
#stranded	VIJ	Virgin Gorda Airport	0.25
#stranded	SBA	Santa Barbara Municipal Airport	0.23
#stranded	HAA	Hasvik Airport	0.23
#stranded	TUB	Tubuai Airport	0.22
#stranded	IXZ	Veer Savarkar International Airport / INS Utkrosh	0.21
#stranded	MVD	Carrasco General Cesáreo L. Berisso International Airport	0.20
#stranded	ANC	Ted Stevens Anchorage International Airport	0.20
#stranded	YVM	Qikiqtarjuaq Airport	0.19
#stranded	PTD	Port Alexander Seaplane Base	0.19
#stranded	LMP	Lampedusa Airport	0.18
#stranded	KEH	Kenmore Air Harbor LLC Seaplane Base	0.18
#stranded	RIS	Rishiri Airport	0.18
#stranded	PDL	João Paulo II Airport	0.18
#stranded	ZEL	Bella Bella (Campbell Island) Airport	0.18
#stranded	HUN	Hualien Chiashan Airport	0.17
#stranded	SGD	Sønderborg Airport	0.16
#stranded	JIK	Ikaria Airport	0.14
#stranded	AMQ	Pattimura International Airport	0.14
#stranded	HRG	Hurghada International Airport	0.13
#stranded	SSR	Sara Airport	0.13
#stranded	LNV	Londolovit Airport	0.12
#stranded	NAH	Naha Airport	0.10
#stranded	DOM	Douglas-Charles Airport	0.10
#stranded	INH	Inhambane Airport	0.10
#stranded	CAL	Campbeltown Airport	0.08
#stranded	AOK	Karpathos Airport	0.08
#stranded	DVO	Francisco Bangoy International Airport	0.08
#stranded	YPX	Puvirnituq Airport	0.07
#stranded	KTP	Tinson Pen Airport	0.07
#stranded	NAN	Nadi International Airport	0.07
#stranded	ZAM	Zamboanga International Airport	0.07
#stranded	LPS	Lopez Island Airport	0.06
#stranded	OIR	Okushiri Airport	0.06
#stranded	GMZ	La Gomera Airport	0.05
#stranded	TAH	Whitegrass Airport	0.04
#stranded	RRG	Sir Charles Gaetan Duval Airport	0.04
#stranded	KNH	Kinmen Airport	0.03
#stranded	BXT	LNG Badak Airport	0.03
#stranded	BRI	Bari Karol Wojtyła International Airport	0.03
#stranded	MNU	Mawlamyine Airport	0.03
#stranded	BFI	King County International Airport - Boeing Field	0.03
#stranded	NYS	New York Skyports Inc Seaplane Base	0.01
#stranded	ONG	Mornington Island Airport	0.01
